Husband_Zodiac,Element
Cancer,Water
Leo,Fire
Capricorn,Earth
Libra,Air
Scorpio,Water
Scorpio,Water
Libra,Air
Cancer,Water
Sagittarius,Fire
Cancer,Water
Libra,Air
Libra,Air
Aquarius,Air
Taurus,Earth
Gemini,Air
Leo,Fire
Leo,Fire
Pisces,Water
Aquarius,Air
Leo,Fire
Taurus,Earth
Aries,Fire
Gemini,Air
Virgo,Earth
Aquarius,Air
Pisces,Water
Leo,Fire
Leo,Fire
Libra,Air
Aquarius,Air
Virgo,Earth
Taurus,Earth
Pisces,Water
Capricorn,Earth
Pisces,Water
Scorpio,Water
Scorpio,Water
Taurus,Earth
Capricorn,Earth
Taurus,Earth
Cancer,Water
Libra,Air
Cancer,Water
Scorpio,Water
Taurus,Earth
Scorpio,Water
Virgo,Earth
Aries,Fire
Aries,Fire
Capricorn,Earth
Libra,Air
Capricorn,Earth
Sagittarius,Fire
Pisces,Water
Libra,Air
Cancer,Water
Aries,Fire
Scorpio,Water
Gemini,Air
Sagittarius,Fire
Sagittarius,Fire
Gemini,Air
Gemini,Air
Leo,Fire
Gemini,Air
Aquarius,Air
Pisces,Water
Scorpio,Water
Aries,Fire
Aries,Fire
Capricorn,Earth
Virgo,Earth
Aquarius,Air
Pisces,Water
Libra,Air
Libra,Air
Leo,Fire
Aries,Fire
Scorpio,Water
Taurus,Earth
Leo,Fire
Cancer,Water
Capricorn,Earth
Sagittarius,Fire
Cancer,Water
Sagittarius,Fire
Libra,Air